date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:05	28044/28044	---M--	200	added ('OK')	font/woff	etag:%2269777aa7-6d8c%22	http://cdn2.editmysite.com/fonts/Lato/bold.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bold.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:06	19560/19560	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd451-4c68%22	http://cdn2.editmysite.com/fonts/Lato/lightitalic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/lightitalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:07	59048/59048	---M-Z	200	added ('OK')	application/octet-stream	etag:%2269834cd3-e6a8%22	http://cdn2.editmysite.com/fonts/Lato/bold.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bold.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:07	27872/27872	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-6ce0%22	http://cdn2.editmysite.com/fonts/Lato/bolditalic.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:10	24448/24448	---M--	200	added ('OK')	font/woff2	etag:%2269834cd3-5f80%22	http://cdn2.editmysite.com/fonts/Lato/bolditalic.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:10	27872/27872	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269834cd3-6ce0%22	http://cdn2.editmysite.com/fonts/Lato/bolditalic.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:11	29920/29920	---M--	200	added ('OK')	font/woff	etag:%2269834cd3-74e0%22	http://cdn2.editmysite.com/fonts/Lato/bolditalic.woff	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:12	62348/62348	---M-Z	200	added ('OK')	application/octet-stream	etag:%22697bd451-f38c%22	http://cdn2.editmysite.com/fonts/Lato/bolditalic.ttf	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:14	22951/22951	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22697bd452-59a7%22	http://cdn2.editmysite.com/fonts/Questrial/regular.eot	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Questrial/regular.eot	(from http://cdn2.editmysite.com/fonts/Questrial/font.css?2)
13:12:14	26669/26669	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2269777aa7-682d%22	http://cdn2.editmysite.com/fonts/Lato/regular.eot?	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Lato/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Lato/font.css?2)
13:12:15	19292/19292	---M--	200	added ('OK')	font/woff2	etag:%22697bd452-4b5c%22	http://cdn2.editmysite.com/fonts/Questrial/regular.woff2	C:/Users/james/Desktop/BikeWebsite/cdn2.editmysite.com/fonts/Questrial/regular.woff2	(from http://cdn2.editmysite.com/fonts/Questrial/font.css?2)
